1588342432.930		392670	341503	4097	45586	1484	386522	35	400	0	404
1588342433.901		5888	401	933	4208	346	4007	35	400	0	404
1588342434.834		5532	1213	169	3970	180	4027	35	400	0	404
1588342435.728		5214	1182	135	3786	111	3846	35	400	0	404
1588342436.589		4665	1231	69	3276	89	3332	35	400	0	404
1588342437.419		6094	421	66	5254	353	5232	35	400	0	404
1588342438.224		5919	1306	409	4053	151	4118	35	400	0	404
1588342439.001		5866	1517	402	2939	1008	2996	35	400	0	404
1588342439.758		7252	579	75	6434	164	6500	35	400	0	404
1588342440.494		7360	2296	163	4743	158	4790	35	400	0	404
1588342441.209		7979	370	50	7401	158	7446	35	400	0	404
1588342441.908		4920	1555	135	3076	154	3222	35	400	0	404
1588342442.589		5433	988	186	3790	469	3832	35	400	0	404
1588342443.256		5957	370	147	5255	185	5310	35	400	0	404
1588342443.908		7580	410	66	6374	730	6314	35	400	0	404
1588342444.548		8360	532	109	7465	254	7513	35	400	0	404
1588342445.175		8252	453	141	7263	395	7327	35	400	0	404
1588342445.789		7906	1427	109	6289	81	6358	35	400	0	404
1588342446.391		6016	505	90	5309	112	5376	35	400	0	404
1588342446.986		6692	2569	479	2754	890	4295	35	400	0	404
1588342447.566		5792	1242	329	3755	466	3804	35	400	0	404
1588342448.138		6422	1773	411	3705	533	4349	35	400	0	404
1588342448.702		5498	1242	110	3982	164	4027	35	400	0	404
1588342449.256		8444	2511	233	5518	182	5592	35	400	0	404
1588342449.804		9259	311	53	8732	163	8767	35	400	0	404
1588342450.341		5474	422	68	4868	116	4920	35	400	0	404
1588342450.873		5536	912	186	4270	168	4300	35	400	0	404
1588342451.395		4712	1213	73	3331	95	3396	35	400	0	404
1588342451.913		6019	423	880	3531	1185	3467	35	400	0	404
1588342452.422		5567	410	64	4676	417	4614	35	400	0	404
1588342452.926		5272	796	159	4172	145	4094	35	400	0	404
1588342453.421		5230	883	67	4131	149	4191	35	400	0	404
1588342453.913		5915	424	52	5101	338	5159	35	400	0	404
1588342454.397		5108	1360	341	3242	165	3462	35	400	0	404
1588342454.877		6178	388	69	5612	109	5673	35	400	0	404
1588342455.351		27404	440	287	26190	487	26248	35	400	0	404
1588342455.820		6861	1550	109	5052	150	5101	35	400	0	404
1588342456.283		5830	767	575	4161	327	4214	35	400	0	404
1588342456.743		11901	1311	267	9931	392	10307	35	400	0	404
1588342457.196		7903	341	51	7318	193	7350	35	400	0	404
1588342457.647		5367	1151	261	3275	680	3361	35	400	0	404
1588342458.092		8749	495	78	8095	81	8177	35	400	0	404
1588342458.533		5283	822	66	4243	152	4312	35	400	0	404
